ItemList,DocumentNumber,SumberFile
"","SOP/PROD/HOSE/SPS/24/10/29","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"MS0800,MS0090,MS0100,MS0110,MS0120","SOP/PROD/HOSE/SPS/24/10/29","Double Layer Digitalisasi [Parameter Setting]"
"VHFUNC-MS0800-EH, VHFUNC-MS0090-EH, VHFUNC-MS0100-EH, VHFUNC-MS0110-EH, VHFUNC-MS0120-EH","SOP/PROD/HOSE/SPS/24/10/29","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/30","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"","SOP/PROD/HOSE/SPS/24/10/31","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"VHFUNC-TA0640-EH","SOP/PROD/HOSE/SPS/24/10/31","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/32","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"VHFUNC-TA0630-EH","SOP/PROD/HOSE/SPS/24/10/32","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/33","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"","SOP/PROD/HOSE/SPS/24/10/34","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"TA1710,TA1520,TA2510,TA2500","SOP/PROD/HOSE/SPS/24/10/34","Double Layer Digitalisasi [Parameter Setting]"
"","SOP/PROD/HOSE/SPS/24/10/35","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"TA0580,TA1700","SOP/PROD/HOSE/SPS/24/10/35","Double Layer Digitalisasi [Parameter Setting]"
"VHFUNC-TA0580-EH, VHFUNC-TA1700-EH","SOP/PROD/HOSE/SPS/24/10/35","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/36","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"TA1710,TA1520,TA2510,TA2500","SOP/PROD/HOSE/SPS/24/10/36","Double Layer Digitalisasi [Parameter Setting]"
"","SOP/PROD/HOSE/SPS/24/10/37","Double Layer Digitalisasi [Print]; Double Layer [Print]"
"NA3311, NA3312","SOP/PROD/HOSE/SPS/24/10/37","Double Layer Digitalisasi [Parameter Setting]; Double Layer [Parameter Setting]"
"VHFUNC-NA3311-EH, VHFUNC-NA3312-EH","SOP/PROD/HOSE/SPS/24/10/37","Double Layer Digitalisasi [Digitalisasi]"
"VHFUNC-TA1710-EH, VHFUNC-TA1520-EH, VHFUNC-TA2510-EH, VHFUNC-TA2500-EH","SOP/PROD/HOSE/SPS/24/10/40","Double Layer Digitalisasi [Digitalisasi]"
"VHFUNC-FM1450-EH, VHFUNC-FM1940-EH","SOP/PROD/HOSE/SPS/24/10/41","Double Layer Digitalisasi [Digitalisasi]"
"VHFUNC-PM1460-EH","SOP/PROD/HOSE/SPS/24/10/42","Double Layer Digitalisasi [Digitalisasi]"
"VHFUNC-NA3220-EH, VHFUNC-NA3230-EH, VHFUNC-NA3240-EH, VHFUNC-NA3250-EH, VHFUNC-NA3260-EH","SOP/PROD/HOSE/SPS/24/10/43","Double Layer Digitalisasi [Digitalisasi]"
"NA-1650, NA-2110","SOP/PROD/HOSE/SPS/24/12/39","Double Layer Digitalisasi [Parameter Setting]; Double Layer [Parameter Setting]"
"","SPS","Double Layer Digitalisasi [Print]; Double Layer [Print]"
"ITEM","SPS","Double Layer Digitalisasi [Digitalisasi]; Double Layer Digitalisasi [Parameter Setting]; Double Layer [Parameter Setting]"
"","VI-SOP-PROD-###","CHS 2 Layer DIG [Parameter Setting]; CHS 3 Layer DIG [Master 1]"
"TA1773,TA1774,TA1890,TA2631,TA2632,TA2670,TA2680,TA2690,TA2700,TA2711,TA2712","VI-SOP-PROD-131","CHS 2 Layer DIG [Parameter Setting]"
"TA1340,TA1350,TA1420,TA1450,TA2633,TA2634,TA2640,TA2650,TA2660","VI-SOP-PROD-132","CHS 2 Layer DIG [Parameter Setting]"
"TA1440,TA1470,TA1430,TA1460","VI-SOP-PROD-133","CHS 2 Layer DIG [Parameter Setting]"
"NA1450,NA1860,TA1790,TA300,TA3100,TA3050,TA3060","VI-SOP-PROD-134","CHS 2 Layer DIG [Parameter Setting]"
"NA1440,NA1430","VI-SOP-PROD-135","CHS 2 Layer DIG [Parameter Setting]"
"NA1420,NA1480","VI-SOP-PROD-136","CHS 2 Layer DIG [Parameter Setting]"
"NA1460,NA1470,NA1870,NA1880,NA1900,NA1910,NA1890,NA1920,NA2090,NA2100,NA2150,NA2190,NA2200,NA2210,NA2230,NA2240,NA2250,NA2320,NA2330,NA2400,NA2410,TA2770,NA2800,NA2830,NA2920,NA2930,NA2950,NA2960,NA2970,NA3070,NA3090,NA3120,NA3150,NA3280,NA3291,NA3292,NA3300,NA3301,NA3320,NA3370,TA1040,TA1050,TA2750,TA2770,TA2830,TA2840,TA2850,TA2860,TA2870,TA2880","VI-SOP-PROD-137","CHS 2 Layer DIG [Parameter Setting]"
"NA1830,NA2180,NA2630,NA2680,NA2740,NA2750,NA3000,NA3030,NA3040,TA1830","VI-SOP-PROD-385","CHS 2 Layer DIG [Parameter Setting]"
"NA1840,NA2720,NA3330","VI-SOP-PROD-459","CHS 2 Layer DIG [Parameter Setting]"
"TA1680,TA1690","VI-SOP-PROD-459","CHS 2 Layer DIG [Parameter Setting]"
"TA1771,TA1772","VI-SOP-PROD-460","CHS 2 Layer DIG [Parameter Setting]"
"TA1780,TA2120","VI-SOP-PROD-461","CHS 2 Layer DIG [Parameter Setting]"
